State,Range Category,Age Adjusted Rate,Deaths,Year
Alabama,16.1 to 18.5,16.2,756,2016
Alaska,16.1 to 18.5,16.8,128,2016
Arizona,18.6 to 21.0,20.3,"1,382",2016
Arkansas,13.6 to 16.0,14,401,2016
California,11.1 to 13.5,11.2,"4,654",2016
Colorado,16.1 to 18.5,16.6,942,2016
Connecticut,21.1 to 52.0,27.4,971,2016
Delaware,21.1 to 52.0,30.8,282,2016
Florida,21.1 to 52.0,23.7,"4,728",2016
Georgia,11.1 to 13.5,13.3,"1,394",2016
Hawaii,11.1 to 13.5,12.8,191,2016
Idaho,13.6 to 16.0,15.2,243,2016
Illinois,18.6 to 21.0,18.9,"2,411",2016
Indiana,21.1 to 52.0,24,"1,526",2016
Iowa,6.9 to 11.0,10.6,314,2016
Kansas,11.1 to 13.5,11.1,313,2016
Kentucky,21.1 to 52.0,33.5,"1,419",2016
Louisiana,21.1 to 52.0,21.8,996,2016
Maine,21.1 to 52.0,28.7,353,2016
Maryland,21.1 to 52.0,33.2,"2,044",2016
Massachusetts,21.1 to 52.0,33,"2,227",2016
Michigan,21.1 to 52.0,24.4,"2,347",2016
Minnesota,11.1 to 13.5,12.5,672,2016
Mississippi,11.1 to 13.5,12.1,352,2016
Missouri,21.1 to 52.0,23.6,"1,371",2016
Montana,11.1 to 13.5,11.7,119,2016
Nebraska,6.9 to 11.0,6.4,120,2016
Nevada,21.1 to 52.0,21.7,665,2016
New Hampshire,21.1 to 52.0,39,481,2016
New Jersey,21.1 to 52.0,23.2,"2,056",2016
New Mexico,21.1 to 52.0,25.2,500,2016
New York,16.1 to 18.5,18,"3,638",2016
North Carolina,18.6 to 21.0,19.7,"1,956",2016
North Dakota,6.9 to 11.0,10.6,77,2016
Ohio,21.1 to 52.0,39.1,"4,329",2016
Oklahoma,21.1 to 52.0,21.5,813,2016
Oregon,11.1 to 13.5,11.9,506,2016
Pennsylvania,21.1 to 52.0,37.9,"4,627",2016
Rhode Island,21.1 to 52.0,30.8,326,2016
South Carolina,16.1 to 18.5,18.1,879,2016
South Dakota,6.9 to 11.0,8.4,69,2016
Tennessee,21.1 to 52.0,24.5,"1,630",2016
Texas,6.9 to 11.0,10.1,"2,831",2016
Utah,21.1 to 52.0,22.4,635,2016
Vermont,21.1 to 52.0,22.2,125,2016
Virginia,16.1 to 18.5,16.7,"1,405",2016
Washington,13.6 to 16.0,14.5,"1,102",2016
West Virginia,21.1 to 52.0,52,884,2016
Wisconsin,18.6 to 21.0,19.3,"1,074",2016
Wyoming,16.1 to 18.5,17.6,99,2016
