State,Abbreviation,2017 Prescribing Rate
Alabama,AL,107.2
Alaska,AK,52
Arizona,AZ,61.2
Arkansas,AR,105.4
California,CA,39.5
Colorado,CO,52.9
Connecticut,CT,48
Delaware,DE,68.3
District of Columbia,DC,28.5
Florida,FL,60.9
Georgia,GA,70.9
Hawaii,HI,37
Idaho,ID,70.3
Illinois,IL,51.1
Indiana,IN,74.2
Iowa,IA,56.4
Kansas,KS,69.8
Kentucky,KY,86.8
Louisiana,LA,89.5
Maine,ME,55.7
Maryland,MD,51.7
Massachusetts,MA,40.1
Michigan,MI,74.2
Minnesota,MN,41
Mississippi,MS,92.9
Missouri,MO,71.8
Montana,MT,61.1
Nebraska,NE,56.6
Nevada,NV,73
New Hampshire,NH,52.8
New Jersey,NJ,44.2
New Mexico,NM,56.4
New York,NY,37.8
North Carolina,NC,72
North Dakota,ND,41.5
Ohio,OH,63.5
Oklahoma,OK,88.1
Oregon,OR,66.1
Pennsylvania,PA,57.7
Rhode Island,RI,51.2
South Carolina,SC,79.3
South Dakota,SD,49
Tennessee,TN,94.4
Texas,TX,53.1
Utah,UT,63.8
Vermont,VT,50.5
Virginia,VA,52.9
Washington,WA,57.2
West Virginia,WV,81.3
Wisconsin,WI,52.6
Wyoming,WY,64.8
