State,State ABBR,2012 Prescribing Rate
Alabama,AL,143.8
Alaska,AK,66.8
Arizona,AZ,85.3
Arkansas,AR,121.8
California,CA,56.4
Colorado,CO,73.5
Connecticut,CT,69.3
Delaware,DE,94
District of Columbia,DC,40.3
Florida,FL,75.9
Georgia,GA,89.4
Hawaii,HI,50.4
Idaho,ID,92
Illinois,IL,66.1
Indiana,IN,110.5
Iowa,IA,74.1
Kansas,KS,90.3
Kentucky,KY,127.9
Louisiana,LA,113
Maine,ME,89.7
Maryland,MD,72.2
Massachusetts,MA,65.7
Michigan,MI,100.7
Minnesota,MN,60.9
Mississippi,MS,121.8
Missouri,MO,95.4
Montana,MT,87.7
Nebraska,NE,73.2
Nevada,NV,98.9
New Hampshire,NH,83.7
New Jersey,NJ,60.1
New Mexico,NM,76.8
New York,NY,51.8
North Carolina,NC,98.6
North Dakota,ND,62.1
Ohio,OH,97.5
Oklahoma,OK,127.4
Oregon,OR,98.7
Pennsylvania,PA,83.3
Rhode Island,RI,83.2
South Carolina,SC,104
South Dakota,SD,60.1
Tennessee,TN,136.1
Texas,TX,73.4
Utah,UT,84.5
Vermont,VT,54.6
Virginia,VA,79.6
Washington,WA,78.7
West Virginia,WV,136.9
Wisconsin,WI,76.8
Wyoming,WY,80.5
