State,State ABBR,2008 Prescribing Rate
Alabama,AL,126.1
Alaska,AK,68.5
Arizona,AZ,80.9
Arkansas,AR,112.1
California,CA,55.1
Colorado,CO,67.7
Connecticut,CT,68.7
Delaware,DE,95.4
District of Columbia,DC,34.5
Florida,FL,84.3
Georgia,GA,86.3
Hawaii,HI,46.6
Idaho,ID,82.7
Illinois,IL,60.2
Indiana,IN,103.3
Iowa,IA,59.1
Kansas,KS,82.7
Kentucky,KY,136.6
Louisiana,LA,113.7
Maine,ME,88.7
Maryland,MD,65.5
Massachusetts,MA,69.2
Michigan,MI,89.9
Minnesota,MN,56.5
Mississippi,MS,113.2
Missouri,MO,86.8
Montana,MT,85.3
Nebraska,NE,66.2
Nevada,NV,97
New Hampshire,NH,81.7
New Jersey,NJ,59.5
New Mexico,NM,71.4
New York,NY,48.4
North Carolina,NC,88.6
North Dakota,ND,61.7
Ohio,OH,97.5
Oklahoma,OK,111.3
Oregon,OR,99.1
Pennsylvania,PA,76.5
Rhode Island,RI,82.9
South Carolina,SC,94.1
South Dakota,SD,52.1
Tennessee,TN,132.9
Texas,TX,71.3
Utah,UT,91.3
Vermont,VT,56.5
Virginia,VA,73
Washington,WA,86.6
West Virginia,WV,145.5
Wisconsin,WI,70.6
Wyoming,WY,81
