State,State ABBR,2010 Prescribing Rate
Alabama,AL,134.3
Alaska,AK,68.4
Arizona,AZ,88.5
Arkansas,AR,120.8
California,CA,55.8
Colorado,CO,72
Connecticut,CT,68.6
Delaware,DE,101.1
District of Columbia,DC,37.1
Florida,FL,87.6
Georgia,GA,90.2
Hawaii,HI,50.1
Idaho,ID,88.6
Illinois,IL,63.1
Indiana,IN,107.1
Iowa,IA,62.3
Kansas,KS,86.1
Kentucky,KY,136.5
Louisiana,LA,112.6
Maine,ME,92.8
Maryland,MD,71.2
Massachusetts,MA,67.9
Michigan,MI,96
Minnesota,MN,59
Mississippi,MS,118.1
Missouri,MO,91
Montana,MT,87.2
Nebraska,NE,69
Nevada,NV,97.3
New Hampshire,NH,81.6
New Jersey,NJ,61
New Mexico,NM,81.9
New York,NY,51
North Carolina,NC,93.1
North Dakota,ND,63
Ohio,OH,102.4
Oklahoma,OK,119.6
Oregon,OR,101.2
Pennsylvania,PA,81
Rhode Island,RI,82.7
South Carolina,SC,98.6
South Dakota,SD,54
Tennessee,TN,140
Texas,TX,73
Utah,UT,86.6
Vermont,VT,54.1
Virginia,VA,75.5
Washington,WA,85
West Virginia,WV,143.1
Wisconsin,WI,74.4
Wyoming,WY,80.4
