State,Range Category,Age Adjusted Rate,Deaths,Year
Alabama,13.6 to 16.0,15.7,736,2015
Alaska,13.6 to 16.0,16,122,2015
Arizona,18.6 to 21.0,19,"1,274",2015
Arkansas,13.6 to 16.0,13.8,392,2015
California,11.1 to 13.5,11.3,"4,659",2015
Colorado,13.6 to 16.0,15.4,869,2015
Connecticut,21.0 to 41.5,22.1,800,2015
Delaware,21.0 to 41.5,22,198,2015
Florida,16.1 to 18.5,16.2,"3,228",2015
Georgia,11.1 to 13.5,12.7,"1,302",2015
Hawaii,11.1 to 13.5,11.3,169,2015
Idaho,13.6 to 16.0,14.2,218,2015
Illinois,13.6 to 16.0,14.1,"1,835",2015
Indiana,18.6 to 21.0,19.5,"1,245",2015
Iowa,6.9 to 11.0,10.3,309,2015
Kansas,11.1 to 13.5,11.8,329,2015
Kentucky,21.0 to 41.5,29.9,"1,273",2015
Louisiana,18.6 to 21.0,19,861,2015
Maine,21.0 to 41.5,21.2,269,2015
Maryland,18.6 to 21.0,20.9,"1,285",2015
Massachusetts,21.0 to 41.5,25.7,"1,724",2015
Michigan,18.6 to 21.0,20.4,"1,980",2015
Minnesota,6.9 to 11.0,10.6,581,2015
Mississippi,11.1 to 13.5,12.3,351,2015
Missouri,16.1 to 18.5,17.9,"1,066",2015
Montana,13.6 to 16.0,13.8,138,2015
Nebraska,6.9 to 11.0,6.9,126,2015
Nevada,18.6 to 21.0,20.4,619,2015
New Hampshire,21.0 to 41.5,34.3,422,2015
New Jersey,16.1 to 18.5,16.3,"1,454",2015
New Mexico,21.0 to 41.5,25.3,501,2015
New York,13.6 to 16.0,13.6,"2,754",2015
North Carolina,13.6 to 16.0,15.8,"1,567",2015
North Dakota,6.9 to 11.0,8.6,61,2015
Ohio,21.0 to 41.5,29.9,"3,310",2015
Oklahoma,18.6 to 21.0,19,725,2015
Oregon,11.1 to 13.5,12,505,2015
Pennsylvania,21.0 to 41.5,26.3,"3,264",2015
Rhode Island,21.0 to 41.5,28.2,310,2015
South Carolina,13.6 to 16.0,15.7,761,2015
South Dakota,6.9 to 11.0,8.4,65,2015
Tennessee,21.0 to 41.5,22.2,"1,457",2015
Texas,6.9 to 11.0,9.4,"2,588",2015
Utah,21.0 to 41.5,23.4,646,2015
Vermont,16.1 to 18.5,16.7,99,2015
Virginia,11.1 to 13.5,12.4,"1,039",2015
Washington,13.6 to 16.0,14.7,"1,094",2015
West Virginia,21.0 to 41.5,41.5,725,2015
Wisconsin,13.6 to 16.0,15.5,878,2015
Wyoming,16.1 to 18.5,16.4,96,2015
