State,State ABBR,2009 Prescribing Rate
Alabama,AL,131.6
Alaska,AK,67.3
Arizona,AZ,84.2
Arkansas,AR,116
California,CA,55.6
Colorado,CO,69.8
Connecticut,CT,68.1
Delaware,DE,97.5
District of Columbia,DC,34.4
Florida,FL,86.3
Georgia,GA,88.2
Hawaii,HI,47.8
Idaho,ID,85.2
Illinois,IL,61
Indiana,IN,105.6
Iowa,IA,60.4
Kansas,KS,82.8
Kentucky,KY,135.2
Louisiana,LA,113
Maine,ME,87.9
Maryland,MD,66.9
Massachusetts,MA,68.9
Michigan,MI,91.6
Minnesota,MN,58.6
Mississippi,MS,117.3
Missouri,MO,88.5
Montana,MT,85.8
Nebraska,NE,66.4
Nevada,NV,94
New Hampshire,NH,81.5
New Jersey,NJ,59.9
New Mexico,NM,75.3
New York,NY,49.5
North Carolina,NC,89.3
North Dakota,ND,60.3
Ohio,OH,100.4
Oklahoma,OK,115
Oregon,OR,99.3
Pennsylvania,PA,78.1
Rhode Island,RI,82.5
South Carolina,SC,95.8
South Dakota,SD,52.3
Tennessee,TN,138.4
Texas,TX,71.8
Utah,UT,86.9
Vermont,VT,54.5
Virginia,VA,74.1
Washington,WA,86.1
West Virginia,WV,146.9
Wisconsin,WI,71.9
Wyoming,WY,81
