State,State ABBR,2016 Prescribing Rate
Alabama,AL,121
Alaska,AK,58.9
Arizona,AZ,70.2
Arkansas,AR,114.6
California,CA,44.8
Colorado,CO,59.8
Connecticut,CT,55.9
Delaware,DE,79.2
District of Columbia,DC,32.5
Florida,FL,66.6
Georgia,GA,77.8
Hawaii,HI,41.9
Idaho,ID,77.6
Illinois,IL,56.8
Indiana,IN,83.9
Iowa,IA,64
Kansas,KS,76.9
Kentucky,KY,97.2
Louisiana,LA,98.1
Maine,ME,66.9
Maryland,MD,58.7
Massachusetts,MA,47.1
Michigan,MI,84.9
Minnesota,MN,46.9
Mississippi,MS,105.6
Missouri,MO,80.4
Montana,MT,69.8
Nebraska,NE,62.8
Nevada,NV,80.7
New Hampshire,NH,64.3
New Jersey,NJ,52.6
New Mexico,NM,65.1
New York,NY,42.7
North Carolina,NC,82.5
North Dakota,ND,47.8
Ohio,OH,75.3
Oklahoma,OK,97.9
Oregon,OR,76.3
Pennsylvania,PA,69.5
Rhode Island,RI,60.3
South Carolina,SC,89.4
South Dakota,SD,54.8
Tennessee,TN,107.5
Texas,TX,57.6
Utah,UT,70.4
Vermont,VT,58.6
Virginia,VA,63.4
Washington,WA,64.9
West Virginia,WV,96
Wisconsin,WI,62.2
Wyoming,WY,71.1
