State,Range Category,Age Adjusted Rate,Deaths,Year
Alabama,16.1 to 18.5,18,835,2017
Alaska,18.6 to 21.0,20.2,147,2017
Arizona,21.1 to 57.0,22.2,"1,532",2017
Arkansas,13.6 to 16.0,15.5,446,2017
California,11.1 to 13.5,11.7,"4,868",2017
Colorado,16.1 to 18.5,17.6,"1,015",2017
Connecticut,21.1 to 57.0,30.9,"1,072",2017
Delaware,21.1 to 57.0,37,338,2017
Florida,21.1 to 57.0,25.1,"5,088",2017
Georgia,13.6 to 16.0,14.7,"1,537",2017
Hawaii,13.6 to 16.0,13.8,203,2017
Idaho,13.6 to 16.0,14.4,236,2017
Illinois,21.1 to 57.0,21.6,"2,778",2017
Indiana,21.1 to 57.0,29.4,"1,852",2017
Iowa,11.1 to 13.5,11.5,341,2017
Kansas,11.1 to 13.5,11.8,333,2017
Kentucky,21.1 to 57.0,37.2,"1,566",2017
Louisiana,21.1 to 57.0,24.5,"1,108",2017
Maine,21.1 to 57.0,34.4,424,2017
Maryland,21.1 to 57.0,36.3,"2,247",2017
Massachusetts,21.1 to 57.0,31.8,"2,168",2017
Michigan,21.1 to 57.0,27.8,"2,694",2017
Minnesota,11.1 to 13.5,13.3,733,2017
Mississippi,11.1 to 13.5,12.2,354,2017
Missouri,21.1 to 57.0,23.4,"1,367",2017
Montana,11.1 to 13.5,11.7,119,2017
Nebraska,6.9 to 11.0,8.1,152,2017
Nevada,21.1 to 57.0,21.6,676,2017
New Hampshire,21.1 to 57.0,37,467,2017
New Jersey,21.1 to 57.0,30,"2,685",2017
New Mexico,21.1 to 57.0,24.8,493,2017
New York,16.1 to 18.5,19.4,"3,921",2017
North Carolina,18.6 to 21.0,24.1,"2,414",2017
North Dakota,6.9 to 11.0,9.2,68,2017
Ohio,21.1 to 57.0,46.3,"5,111",2017
Oklahoma,18.6 to 21.0,20.1,775,2017
Oregon,11.1 to 13.5,12.4,530,2017
Pennsylvania,21.1 to 57.0,44.3,"5,388",2017
Rhode Island,21.1 to 57.0,31,320,2017
South Carolina,18.6 to 21.0,20.5,"1,008",2017
South Dakota,6.9 to 11.0,8.5,73,2017
Tennessee,21.1 to 57.0,26.6,"1,776",2017
Texas,6.9 to 11.0,10.5,"2,989",2017
Utah,21.1 to 57.0,22.3,650,2017
Vermont,21.1 to 57.0,23.2,134,2017
Virginia,16.1 to 18.5,17.9,"1,507",2017
Washington,13.6 to 16.0,15.2,"1,169",2017
West Virginia,21.1 to 57.0,57.8,974,2017
Wisconsin,21.1 to 57.0,21.2,"1,177",2017
Wyoming,11.1 to 13.5,12.2,69,2017
