State,State ABBR,2006 Prescribing Rate
Alabama,AL,115.6
Alaska,AK,63.4
Arizona,AZ,74.3
Arkansas,AR,98.3
California,CA,51
Colorado,CO,62.2
Connecticut,CT,64.7
Delaware,DE,86.6
District of Columbia,DC,31.7
Florida,FL,79.7
Georgia,GA,79.8
Hawaii,HI,42.3
Idaho,ID,75.6
Illinois,IL,55.6
Indiana,IN,94.3
Iowa,IA,59.3
Kansas,KS,77.5
Kentucky,KY,122.6
Louisiana,LA,109.2
Maine,ME,83.6
Maryland,MD,60.1
Massachusetts,MA,66
Michigan,MI,80.2
Minnesota,MN,50.3
Mississippi,MS,102.7
Missouri,MO,80.5
Montana,MT,79.1
Nebraska,NE,64.3
Nevada,NV,87.7
New Hampshire,NH,75
New Jersey,NJ,54.7
New Mexico,NM,61.8
New York,NY,44.2
North Carolina,NC,85.2
North Dakota,ND,56
Ohio,OH,87.7
Oklahoma,OK,108.7
Oregon,OR,91
Pennsylvania,PA,69.5
Rhode Island,RI,78.7
South Carolina,SC,90.4
South Dakota,SD,50
Tennessee,TN,124.8
Texas,TX,66.8
Utah,UT,87
Vermont,VT,56.9
Virginia,VA,67.2
Washington,WA,80.8
West Virginia,WV,129.9
Wisconsin,WI,64.7
Wyoming,WY,79.9
