State,State ABBR,2007 Prescribing Rate
Alabama,AL,120.3
Alaska,AK,66.6
Arizona,AZ,77.8
Arkansas,AR,108.2
California,CA,53.6
Colorado,CO,65.9
Connecticut,CT,67.5
Delaware,DE,92.3
District of Columbia,DC,41.2
Florida,FL,82.2
Georgia,GA,82.5
Hawaii,HI,44.5
Idaho,ID,78.8
Illinois,IL,59.2
Indiana,IN,99.7
Iowa,IA,57.1
Kansas,KS,80.6
Kentucky,KY,130.8
Louisiana,LA,110.1
Maine,ME,85.4
Maryland,MD,63.3
Massachusetts,MA,68.2
Michigan,MI,85.6
Minnesota,MN,53.7
Mississippi,MS,109.9
Missouri,MO,84.3
Montana,MT,81.1
Nebraska,NE,65.1
Nevada,NV,90.2
New Hampshire,NH,78.5
New Jersey,NJ,57.2
New Mexico,NM,69
New York,NY,46.1
North Carolina,NC,87.5
North Dakota,ND,59.3
Ohio,OH,92.7
Oklahoma,OK,114.4
Oregon,OR,95.5
Pennsylvania,PA,73.7
Rhode Island,RI,82.2
South Carolina,SC,91.7
South Dakota,SD,49.9
Tennessee,TN,128.8
Texas,TX,71.2
Utah,UT,89.8
Vermont,VT,56
Virginia,VA,70.1
Washington,WA,84.4
West Virginia,WV,135.1
Wisconsin,WI,69.2
Wyoming,WY,80.8
