State,State ABBR,2014 Prescribing Rate
Alabama,AL,135.2
Alaska,AK,62.7
Arizona,AZ,79.7
Arkansas,AR,123.2
California,CA,52.7
Colorado,CO,69.6
Connecticut,CT,66
Delaware,DE,91
District of Columbia,DC,40.1
Florida,FL,71.4
Georgia,GA,83.8
Hawaii,HI,47.7
Idaho,ID,87.4
Illinois,IL,62.3
Indiana,IN,96.7
Iowa,IA,72.3
Kansas,KS,86.5
Kentucky,KY,110
Louisiana,LA,108.9
Maine,ME,82.4
Maryland,MD,67.6
Massachusetts,MA,59.6
Michigan,MI,98
Minnesota,MN,56.6
Mississippi,MS,116.3
Missouri,MO,90.7
Montana,MT,80.1
Nebraska,NE,70.1
Nevada,NV,90.1
New Hampshire,NH,79.6
New Jersey,NJ,57.2
New Mexico,NM,71.5
New York,NY,43.9
North Carolina,NC,93.7
North Dakota,ND,58.1
Ohio,OH,89.5
Oklahoma,OK,110.9
Oregon,OR,91.9
Pennsylvania,PA,79.9
Rhode Island,RI,72.8
South Carolina,SC,101.3
South Dakota,SD,61.7
Tennessee,TN,121.3
Texas,TX,67
Utah,UT,78.8
Vermont,VT,50.4
Virginia,VA,73.5
Washington,WA,74.2
West Virginia,WV,126.4
Wisconsin,WI,71.9
Wyoming,WY,80.9
