State,State ABBR,2013 Prescribing Rate
Alabama,AL,142.4
Alaska,AK,63.7
Arizona,AZ,80.4
Arkansas,AR,120.9
California,CA,54.4
Colorado,CO,71.2
Connecticut,CT,67.4
Delaware,DE,92.7
District of Columbia,DC,41.1
Florida,FL,73.5
Georgia,GA,86.6
Hawaii,HI,49.4
Idaho,ID,89.2
Illinois,IL,63.7
Indiana,IN,106.3
Iowa,IA,72.2
Kansas,KS,88.7
Kentucky,KY,111.7
Louisiana,LA,112.4
Maine,ME,85.9
Maryland,MD,69
Massachusetts,MA,63
Michigan,MI,98.9
Minnesota,MN,58.3
Mississippi,MS,119.6
Missouri,MO,93.3
Montana,MT,84.2
Nebraska,NE,71.3
Nevada,NV,91.1
New Hampshire,NH,82
New Jersey,NJ,58.3
New Mexico,NM,71.4
New York,NY,46.7
North Carolina,NC,96.7
North Dakota,ND,60.1
Ohio,OH,93.1
Oklahoma,OK,123.3
Oregon,OR,94.2
Pennsylvania,PA,81.6
Rhode Island,RI,76.9
South Carolina,SC,103
South Dakota,SD,60.6
Tennessee,TN,127.1
Texas,TX,70
Utah,UT,82.1
Vermont,VT,52.2
Virginia,VA,76.6
Washington,WA,75.2
West Virginia,WV,129
Wisconsin,WI,73.8
Wyoming,WY,81.5
