State,State ABBR,2011 Prescribing Rate
Alabama,AL,136.6
Alaska,AK,68
Arizona,AZ,88.6
Arkansas,AR,115.2
California,CA,55.9
Colorado,CO,73
Connecticut,CT,69.1
Delaware,DE,99.7
District of Columbia,DC,39.8
Florida,FL,83.5
Georgia,GA,88.6
Hawaii,HI,50.1
Idaho,ID,91.4
Illinois,IL,64.3
Indiana,IN,106.7
Iowa,IA,64
Kansas,KS,87.8
Kentucky,KY,137
Louisiana,LA,111.7
Maine,ME,93.1
Maryland,MD,72.9
Massachusetts,MA,65.9
Michigan,MI,98.8
Minnesota,MN,60
Mississippi,MS,117.2
Missouri,MO,91.6
Montana,MT,85.3
Nebraska,NE,68.8
Nevada,NV,100.3
New Hampshire,NH,80.9
New Jersey,NJ,61.5
New Mexico,NM,81.6
New York,NY,51.1
North Carolina,NC,93.5
North Dakota,ND,61.3
Ohio,OH,101.5
Oklahoma,OK,122.3
Oregon,OR,100.7
Pennsylvania,PA,81.7
Rhode Island,RI,82.5
South Carolina,SC,96.8
South Dakota,SD,55.1
Tennessee,TN,138.5
Texas,TX,72
Utah,UT,85.2
Vermont,VT,53.6
Virginia,VA,76.6
Washington,WA,81.6
West Virginia,WV,139.6
Wisconsin,WI,75.2
Wyoming,WY,78.2
